episode,goal_angle,cumulative_reward,success,episode_length,final_absolute_error,epsilon,mean_loss,optimization_steps,replay_buffer_size,elapsed_seconds
217,-0.23797407,16.61909731,1,15,0.00607538,0.33867679,0.14146358,10401,10900,77.9657
218,0.15956888,17.04438201,1,15,0.00369051,0.33698341,0.08850940,10416,10915,78.1044
219,0.69046981,8.45990416,1,28,0.01291578,0.33529849,0.11338488,10444,10943,78.3832
220,-0.25037858,16.31552375,1,16,0.00146687,0.33362200,0.09664488,10460,10959,78.5914
221,0.54489188,11.79387040,1,26,0.00211384,0.33195389,0.11049115,10486,10985,78.7907
222,-0.26035695,17.80005821,1,25,0.01385663,0.33029412,0.08893239,10511,11010,79.0276
223,-0.19335398,16.70034276,1,16,0.00177575,0.32864265,0.09968328,10527,11026,79.1803
224,-0.29511368,15.68135458,1,18,0.02825796,0.32699944,0.14007534,10545,11044,79.3057
225,-0.47134574,12.87034930,1,25,0.01030924,0.32536444,0.11546980,10570,11069,79.5171
226,0.12505313,17.04152164,1,13,0.02362140,0.32373762,0.10118447,10583,11082,79.6390
227,0.74030690,10.12308127,1,25,0.01132275,0.32211893,0.08519782,10608,11107,79.8283
228,-0.30293928,15.57732193,1,19,0.00460513,0.32050834,0.10491934,10627,11126,79.9761
229,-0.17823421,16.79016835,1,13,0.01502747,0.31890579,0.09534637,10640,11139,80.0885
230,0.45116721,16.88960018,1,37,0.02557795,0.31731127,0.10536175,10677,11176,80.3580
231,-0.10537804,22.08111355,1,30,0.01564427,0.31572471,0.09945982,10707,11206,80.5748
232,-0.49250674,14.43629679,1,19,0.00143347,0.31414609,0.08984659,10726,11225,80.7138
233,0.76175965,10.40928905,1,25,0.00446610,0.31257535,0.09459388,10751,11250,80.8570
234,0.67987095,10.71462015,1,25,0.00110295,0.31101248,0.09366404,10776,11275,81.0006
235,0.51532540,13.26263884,1,22,0.00087949,0.30945742,0.09730674,10798,11297,81.1320
236,0.02138863,17.76287150,1,8,0.00003294,0.30791013,0.11585710,10806,11305,81.1884
237,0.31860946,16.00876110,1,16,0.01658881,0.30637058,0.10754985,10822,11321,81.2933
238,-0.71918308,10.91080767,1,26,0.00406038,0.30483873,0.12858453,10848,11347,81.4871
239,0.79609278,8.57780681,1,39,0.00607471,0.30331453,0.09086013,10887,11386,81.7502
240,-0.08927153,17.09936698,1,16,0.00240312,0.30179796,0.09908034,10903,11402,81.8708
241,0.19924649,16.86320740,1,14,0.00228832,0.30028897,0.09647507,10917,11416,82.0121
242,0.39303261,15.13791013,1,19,0.00646859,0.29878752,0.11376218,10936,11435,82.2117
243,0.20823894,16.66288215,1,16,0.00239079,0.29729359,0.08524780,10952,11451,82.4058
244,-0.73315983,9.06872635,1,27,0.00382436,0.29580712,0.08421337,10979,11478,82.7312
245,-0.11606084,17.40482663,1,12,0.00403812,0.29432808,0.12058225,10991,11490,82.8416
246,0.56207828,14.65186344,1,27,0.02512706,0.29285644,0.10212630,11018,11517,83.1120
247,0.37343601,15.75657371,1,16,0.00452353,0.29139216,0.10137512,11034,11533,83.2739
248,0.54852044,13.70303751,1,20,0.01883768,0.28993520,0.11214227,11054,11553,83.4671
249,-0.17158075,17.05196157,1,13,0.01074484,0.28848552,0.11135630,11067,11566,83.6153
250,-0.49105224,13.17475907,1,22,0.01513014,0.28704310,0.10253433,11089,11588,83.8438
251,0.37107603,15.62377562,1,17,0.00320664,0.28560788,0.10618712,11106,11605,83.9812
252,0.30761203,13.29556612,1,24,0.00571394,0.28417984,0.10690903,11130,11629,84.1756
253,0.23477834,16.71676859,1,14,0.00262005,0.28275894,0.11333042,11144,11643,84.2603
254,-0.57394654,11.60162244,1,24,0.01348925,0.28134515,0.11401819,11168,11667,84.3979
255,0.26310541,14.97213308,1,20,0.00357367,0.27993842,0.10623216,11188,11687,84.5241
256,-0.68071982,9.58268780,1,28,0.02554379,0.27853873,0.11219838,11216,11715,84.7196
257,0.02779896,17.58410184,1,8,0.00340995,0.27714604,0.08239283,11224,11723,84.7693
258,0.33918184,15.60803887,1,17,0.03819158,0.27576031,0.11165933,11241,11740,84.8847
259,0.27259214,16.54168335,1,14,0.00057541,0.27438150,0.10567956,11255,11754,84.9860
260,-0.15881494,21.95377412,1,25,0.01364894,0.27300960,0.11567440,11280,11779,85.1745
261,0.41559407,15.31907889,1,18,0.00745524,0.27164455,0.12890814,11298,11797,85.3214
262,-0.45690813,17.74988708,1,28,0.00500873,0.27028633,0.09492687,11326,11825,85.5772
263,0.09918333,17.50933370,1,11,0.01993004,0.26893489,0.13141695,11337,11836,85.6477
